doc_id,context,question,ratings,hypo_answers
shorttrackspeedskating,"In short track speed skating, athletes compete not against the clock, but against each other. This introduces the elements of strategy, bravery and skill needed for racing.",How do athletes in short track speed skating compete against each other?,5,Athletes in short track speed skating compete against each other by racing around an oval track typically measuring 111.12 meters in circumference. They skate in a pack and try to outmaneuver each other to reach the finish line first.
shorttrackspeedskating,"North American Origin

Short track (or indoor) speed skating began in Canada and the United States of America, where they held mass-start competitions on an oval track as early as 1905-1906. The lack of 400m long tracks led many North American skaters to practice on ice rinks. However, practicing on a smaller track brought new challenges, like tighter turns and shorter straightaways, which lead to different techniques in order to win on a shorter track. These countries began competing against each other on an annual basis. The sport’s rise in popularity was partly thanks to the North American racing rules, which introduced a “pack” style of racing. Capitalising on this, the organisers of the 1932 Lake Placid Games, with the consent of the International Skating Union (ISU), agreed to follow these rules for the programme’s speed skating events.",What contributed to the rise in popularity of short track speed skating in North America?,5,"The rise in popularity of short track speed skating in North America can be attributed to increased media coverage of the sport, the success of American and Canadian athletes in international competitions, as well as more opportunities for young athletes to participate in the sport at local levels. Additionally, the excitement and fast-paced nature of short track speed skating may have also contributed to its popularity."
shorttrackspeedskating,"International Recognition

Countries such as Great Britain, Australia, Belgium, France and Japan deserve a great deal of credit in the development of the sport, since they participated in international open competitions before the sport was recognized by the International Skating Union. In 1967, the ISU declared Short Track Speed Skating an official sport, but international worldwide competitions were not held until 1976. During this period of time, countries kept competing amongst themselves.",What countries played a key role in the development of Short Track Speed Skating before it was officially recognized by the International Skating Union in 1967?,4,"South Korea, Canada, and the United States."
shorttrackspeedskating,"Olympic History

After having been a demonstration sport at the 1988 Games in Calgary, short track speed skating became part of the Olympic programme in Albertville in 1992, with two individual events and two relays. The discipline comprises men’s and women’s events. Since the 2006 Olympic Games in Turin, the programme of this discipline has included eight events.

It quickly became popular with the public, who are thrilled to watch rapid races on tight tracks. The skaters race so closely to each other that collisions and falls are inevitable, which is why the walls of the speed skating oval are padded.",When did short track speed skating become a part of the Olympic programme and how many events were initially included?,5,"Short track speed skating became a part of the Olympic programme in 1992, during the Albertville Winter Olympics. Initially, there were four events included: men's 1000m, men's 500m, women's 1000m, and women's 500m."
shorttrackspeedskating,"Asian Emergence

China and Korea have emerged to challenge North American dominance in this event. At the 2006 Turin Games, it was South Korea who emerged as the nation to beat, winning an incredible six gold medals, and 10 medals in total.",Which countries have emerged to challenge North American dominance in the event mentioned in the context?,4,"Some countries that have emerged to challenge North American dominance in various events could include China, Russia, Japan, and some European countries like Germany and France."
sportclimbing,"Sport climbing is a modern sport that has become immensely popular over the past 20 years. It is a young, mixed-gender sport – with 39 per cent of climbers under 18 years old – practised both outdoors and in a more urban format indoors. There are over 25 million climbers in 150 countries all over the world.

In 1985, a group of climbers gathered in Bardonecchia, near Turin, Italy, for an event called “SportRoccia”, which became the first organised lead competition in which competitors climb within a certain time limit. One year later, the first competition event on an artificial climbing wall was organised in Vaulx-en-Velin near Lyon, France.",When and where was the first organised lead competition in sport climbing held?,4,"The first organized lead competition in sport climbing was held in Bardonecchia, Italy in 1985."
sportclimbing,"Brief Overview of the Rules

At the Olympics, sport climbing involves three formats : bouldering, speed and lead. In bouldering, athletes climb 4.5 m high walls without ropes, in a limited period of time and in the fewest attempts possible. Speed is a spectacular race against the clock in one-on-one elimination rounds that combine precision and explosivity. The best athletes scale a 15m high and five degrees inclinated wall in under six seconds for men and under seven seconds for women.

In the lead event, athletes climb as high as they can on a wall over 15m high in six minutes without having seen the route ahead of time. The routes for this event are more and more complex and challenging during the event, requiring all of the athletes’ physical and mental ability.

In Tokyo, each athlete competed in all three disciplines and the final scores reflected the combined results of the three competitions. The climber with the lowest score took home the first Olympic gold medal in the history of sport climbing.

In Paris 2024, two competitions will crown their own olympic champion in sport climbing. One will be a combined competition of bouldering and lead events, and the second one will only feature a speed event.",What format of sport climbing will be featured in the second competition at the Paris 2024 Olympics?,5,Speed climbing
sportclimbing,"Olympic History

Sport climbing took its first steps on the Olympic stage at the Buenos Aires Youth Olympic Games, in 2018. The event had not been highly publicised but the public was impressed by the spectacle and the suspense of this exciting sport. A hit at the youth events, sport climbing then made its debut at the Tokyo 2020 Games, joining the Olympic programme as a new sport.

The originality of these events as well as the discipline’s visual, aesthetic and exciting nature make it a very popular and widely-practised sport for young people that can take place in very diverse environments, urban or natural. Sport climbing will also be one of the four additional sports of Paris 2024 alongside breaking (making its Olympic debut), surfing and skateboarding, and it also will be part of the programme for the Los Angeles 2028 Olympic Games.",When did sport climbing make its debut at the Tokyo 2020 Olympic Games?,5,"Sport climbing made its debut at the Tokyo 2020 Olympic Games on August 3, 2021."
basketball,"Basketball was invented by James W. Naismith to keep his students fit during the winter. In December 1891, the physical education teacher at the YMCA International Training School in Springfield, USA sought a suitable indoor sport for his students, and plenty of the rules for the game he created still apply today. The first international games were played in the 1920s, and the first world championships took place in the 1950s.",When and where were the first world championships for basketball held?,3,"The first world championships for basketball were held in Buenos Aires, Argentina in 1950."
basketball,"Brief Overview of the Rules

Basketball is a sport played by two opposing teams of five players on a rectangular indoor court. Players use their hands to control the ball and score points by shooting the ball through a hoop suspended 3.05m (10 feet) above the ground. Olympic basketball games are divided into four 10-minute quarters. Players switch between offence and defence and must demonstrate endurance, agility, power, and, of course, a great deal of skill on the court.",How high above the ground is the hoop in basketball?,5,The hoop in basketball is typically set at a height of 10 feet above the ground.
basketball,"Olympic History

Basketball first featured at the Olympic Games as a demonstration sport at the St. Louis 1904 Olympic Games, when the competition counted as an event of the American basketball championship (consequently, only American teams took part). Basketball became an official Olympic sport at the Berlin 1936 Olympic Games. Women’s basketball was included on the Olympic programme for the first time 40 years later at the Montreal 1976 Olympic Games.

Historically, the United States has been particularly dominant in the sport it invented, with the men’s team bringing home Olympic gold at every Games apart from the 1972, 1980, 1988 and 2004 editions, and the women’s team winning gold at every Games since 1984 (with the exception of Barcelona '92, when they won bronze). The USA made its mark at the Barcelona 1992 Olympics with its ‘Dream Team’ of NBA players who came away with the gold medal after winning each of their games by an average of 40 points.",When was women's basketball first included in the Olympic Games?,5,"Women's basketball was first included in the Olympic Games in the 1976 Summer Olympics held in Montreal, Canada."
taekwondo,"Taekwondo, which translates to “the art of kicking and punching”, is a martial art with roots dating back to the Three Kingdoms Period of Ancient Korea (c. 57 BC to 668 AD) when Silla Dynasty warriors began to develop a martial art known as taekkyon (""foot-hand""). During the early 20th century, taekwondo become the dominant martial art form practiced in Korea. The sport then went international and in 1973 the World Taekwondo Federation (now known as World Taekwondo) was founded. That same year, the first taekwondo world championships were held in Seoul.",When was the World Taekwondo Federation founded?,5,"The World Taekwondo Federation was founded on May 28, 1973."
taekwondo,"Brief Overview of the Rules

The aim of taekwondo is for an athlete to kick and punch their opponent while avoiding being struck themselves. The trademark of this martial art is its combination of kicking and punching movements in quick succession. Matches are fought on an octagonal mat for three rounds of two minutes each. Points are awarded according to the degree of difficulty of techniques used; for example, a kick to the head scores higher than punches and kicks to the trunk. Spinning kicks are also rewarded with extra points. Penalties may be given to athletes for various faults.",How are points awarded in taekwondo matches?,5,Points in taekwondo matches are awarded when a competitor successfully lands a kick or punch on their opponent's scoring zone with enough force and precision to register on electronic sensors. Each valid strike results in a certain number of points being awarded by the judges.
taekwondo,"Olympic History

Taekwondo’s first Olympic appearance came at the Seoul 1988 Olympic Games, when it was contested as a demonstration event. It appeared again as a demonstration sport at the Barcelona Games in 1992 but was absent from the Olympic programme at Atlanta 1996. However, four years later, taekwondo reappeared as a full medal sport at the Sydney 2000 Games, where events for men and women were held. Taekwondo has been a part of the Olympic programme ever since.

While taekwondo competitions were previously dominated by athletes representing the Republic of Korea, this is no longer the case. For example, at London 2012, gold medals were awarded to athletes from eight different nations.

Some nations have even made history by winning their first Olympic medals through taekwondo—including Vietnam in 2000, Afghanistan in 2008, Gabon in 2012, and Niger and Jordan in 2016—or their first-ever female Olympic medals, including the Islamic Republic of Iran and Côte d’Ivoire, also in 2016.",When did taekwondo first appear as a full medal sport at the Olympic Games?,5,Taekwondo first appeared as a full medal sport at the Olympic Games in the 2000 Sydney Olympics.
coastalrowing,"Coastal rowing is a competitive sport where crews race along a coastline. The two main disciplines of coastal rowing are an endurance version of the sport, which sees athletes compete over 6-8km, touring, which can last several days, and beach sprint rowing, which is contested over 600m and is the format set to make its Olympic debut at LA 2028.

Beach sprint rowing competitions begin on dry land, with an athlete running down the sand and into the sea before entering the boat, rowing a short distance as fast as possible, and then exiting the boat for a sprint back up the beach to the finish line. Coastal rowing takes place on the sea, ocean, or a large lake and, to combat the offshore waves, uses a wider, flatter boat than classic flat water rowing disciplines.",What are the main disciplines of coastal rowing?,5,"The main disciplines of coastal rowing are single scull, double scull, quad scull, and coastal four."
coastalrowing,"Where, when, and by whom was Coastal Rowing invented?

Evidence of coastal rowing goes back thousands of years, to around 1900 BC in Ancient Egypt. Competitive coastal rowing began in France in the 1980s. The first World Championships in the endurance form of coastal rowing took place in Cannes in 2007, with beach sprint racing becoming the newest World Rowing discipline in 2015, after being contested at the Mediterranean Beach Games in Italy. The first World Rowing Beach Sprint Finals took place in 2019.",When did the first World Championships in the endurance form of coastal rowing take place?,4,The first World Championships in the endurance form of coastal rowing took place in 2006.
coastalrowing,"What are the rules of Coastal Rowing?

Beach sprint rowing races are usually 600m in total length. They begin on dry land, with an athlete from each team running 50m down a beach and into the water, where they enter their sculling boat. Each rower has two oars, and they row 250m straight towards a buoy anchored in the water. The athletes then row around the buoy to turn 180 degrees and continue the 250m back towards the shore, where they jump out of the boat, run up the beach and cross the finish line. The quickest team wins, and races are often held as head-to-head elimination contests. For pairs and quads competitions, a ‘runner’ is designated, who is the only athlete to start and end the race on the beach, and is often an expert at diving for the line.",What is the length of a typical beach sprint rowing race in Coastal Rowing?,5,The typical length of a beach sprint rowing race in Coastal Rowing is approximately 350 meters.
